mode,route_id,route_short_name,route_long_name,med_T3_eve,med_T3W_MULTI_eve,delta_min
bus,904,537,ΑΧΑΡΝΑΙ - ΒΑΡΥΜΠΟΜΠΗ,5.0,55.0,50.0
bus,1560,734,ΑΧΑΡΝΑΙ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΚΥΚΛΙΚΗ),9.67,59.4,49.73
bus,1165,301Β,ΣΤ. ΔΟΥΚ. ΠΛΑΚΕΝΤΙΑΣ-ΑΝΘΟΥΣΑ-ΠΕΝΤΕΛΗ (ΚΥΚΛΙΚΗ),1.05,50.0,48.95
bus,1646,314,Β* ΣΤ. ΔΟΥΚ. ΠΛΑΚΕΝΤΙΑΣ - ΠΑΛΛΗΝΗ - Ν. ΒΟΥΤΖΑΣ (2ο Γυμνάσιο),17.18,55.0,37.82
bus,1550,755Β,ΑΧΑΡΝΑΙ-ΚΟΚΚΙΝΟΣ ΜΥΛΟΣ-ΣΤ. ΚΑΤΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ ΜΕΣΩ ΧΑΡΑΥΓΗΣ),15.03,51.15,36.12
bus,939,101,ΑΛΙΜΟΣ - ΕΛΛΗΝΙΚΟ,19.38,55.0,35.620000000000005
bus,1134,726,ΑΧΑΡΝΑΙ (ΜΕΣΟΝΥΧΙ) - ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ (BOYNO)   (ΚΥΚΛΙΚΗ),20.0,55.0,35.0
bus,1162,301,ΣΤ. ΔΟΥΚ. ΠΛΑΚΕΝΤΙΑΣ - ΑΝΘΟΥΣΑ - ΠΕΝΤΕΛΗ (ΚΥΚΛΙΚΗ),10.0,45.0,35.0
bus,1259,749,ΟΙΚΙΣΜΟΣ ΓΕΝΝΗΜΑΤΑ-ΣΤ. ΠΡΟΑΣΤΙΑΚΟΥ (ΚΥΚΛΙΚΗ),5.0,40.0,35.0
bus,854,871,ΠΕΙΡΑΙΑΣ - ΕΛΕΥΣΙΝΑ (ΜΕΣΩ Λ. ΕΘΝ. ΑΝΤΙΣΤΑΣΕΩΣ),20.08,54.67,34.59
bus,871,Β1,ΠΕΙΡΑΙΑΣ - ΑΝΩ ΓΛΥΦΑΔΑ,6.41,40.0,33.59
bus,996,862,ΠΑΡΑΛΙΑ - ΑΝΩ ΕΛΕΥΣΙΝΑ,12.0,45.0,33.0
bus,1183,891,ΑΓ. ΒΑΡΒΑΡΑ - ΑΙΓΑΛΕΩ - ΠΕΡΙΣΤΕΡΙ - ΣΤΑΘ. ΑΤΤΙΚΗΣ (ΚΥΚΛΙΚΗ),12.18,45.0,32.82
bus,844,892,ΑΓ. ΒΑΡΒΑΡΑ - ΧΑΪΔΑΡΙ - ΑΓ. ΑΝΑΡΓΥΡΟΙ-ΙΛΙΟΝ,9.2,40.0,30.8
bus,857,825,ΝΕΑΠΟΛΗ - ΑΓ. ΑΝΤΩΝΙΟΣ - ΠΕΙΡΑΙΑΣ Β (ΚΥΚΛΙΚΗ),8.93,39.29,30.36
bus,1624,543Α,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ (ΜΕΣΩ ΚΑΛΥΦΤΑΚΗ) (ΚΥΚΛΙΚΗ),15.0,45.0,30.0
bus,907,733,ΑΧΑΡΝΑΙ - ΑΝΩ ΛΙΟΣΙΑ (ΚΥΚΛΙΚΗ),10.0,40.0,30.0
bus,813,881,ΕΛΕΥΣΙΝΑ - ΑΣΠΡΟΠΥΡΓΟΣ - ΡΟΥΠΑΚΙ,5.0,35.0,30.0
bus,883,914,ΟΜΟΝΟΙΑ - ΛΑΧΑΝΑΓΟΡΑ - ΠΑΛ. ΚΟΚΚΙΝΙΑ (ΚΥΚΛΙΚΗ),20.0,49.57,29.57
bus,1354,803,ΠΕΙΡΑΙΑΣ - ΔΑΣΟΣ ΧΑΪΔΑΡΙΟΥ,10.57,40.0,29.43
bus,984,640,ΤΟΠΙΚΗ ΗΡΑΚΛΕΙΟΥ (ΚΥΚΛΙΚΗ),10.65,40.0,29.35
bus,1384,711,ΣΤ. ΑΤΤΙΚΗ - ΖΩΦΡΙΑ,11.0,40.0,29.0
bus,911,878,ΑΧΑΡΝΑΙ - ΕΛΕΥΣΙΝΑ,17.38,45.0,27.62
bus,1043,330,ΚΟΡΩΠΙ - ΑΓ. ΜΑΡΙΝΑ (ΚΥΚΛΙΚΗ),10.69,38.23,27.54
bus,1056,444,ΣΤ. ΕΙΡΗΝΗ - ΓΑΛΑΤΣΙ - ΣΤ. ΑΝΩ ΠΑΤΗΣΙΑ (ΚΥΚΛΙΚΗ),14.85,41.23,26.379999999999995
bus,998,522,ΣΤΑΘΜΟΣ ΚΗΦΙΣΙΑΣ - ΑΔΑΜΕΣ Α (ΚΥΚΛΙΚΗ),10.0,35.0,25.0
bus,976,447,ΧΑΛΑΝΔΡΙ - ΑΝΩ ΒΡΙΛΗΣΣΙΑ,10.0,35.0,25.0
bus,1147,727,ΜΕΣΟΝΥΧΙ - ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΣ - ΑΓ.ΠΑΡΑΣΚΕΥΗ (ΚΥΚΛΙΚΗ),10.0,35.0,25.0
bus,1007,653,ΨΥΧΙΚΟ - ΠΑΝΟΡΜΟΥ Β (ΚΥΚΛΙΚΗ),5.0,30.0,25.0
